INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('83#雷电分析仪',4.6,'是','异常','闭合',203.4,204.8,176.0,27.5,29.9,66.1,236.4,232.5,234.6,2.8,28.3);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('72#雷电分析仪',8.6,'否','异常','闭合',232.8,126.2,120.4,47.2,68.0,44.0,183.5,190.7,144.9,7.6,31.5);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('79#雷电分析仪',5.5,'是','正常','打开',211.3,156.6,132.7,27.7,50.8,68.7,220.3,225.6,161.4,8.1,34.2);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('80#雷电分析仪',6.7,'否','异常','闭合',203.1,170.6,235.6,14.0,51.0,58.3,131.0,205.3,175.1,7.3,33.7);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('22#雷电分析仪',9.1,'否','正常','打开',102.3,225.8,103.3,67.7,17.6,21.5,226.0,117.4,214.7,2.5,27.8);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('0#雷电分析仪',5.5,'否','正常','打开',210.9,174.1,185.5,10.5,16.9,12.4,197.9,175.4,138.3,6.2,35.0);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('48#雷电分析仪',8.6,'是','异常','闭合',208.2,178.2,230.9,59.8,85.6,16.4,226.7,111.2,113.7,5.7,35.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('87#雷电分析仪',4.1,'是','正常','打开',118.8,231.3,203.8,72.5,35.1,20.9,108.2,141.4,104.1,8.8,23.8);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('3#雷电分析仪',9.6,'是','异常','闭合',140.0,162.7,137.5,35.7,37.9,60.8,229.9,154.7,107.1,8.7,25.0);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('22#雷电分析仪',5.4,'否','正常','打开',201.8,233.4,172.2,35.9,45.1,52.3,196.0,151.7,201.2,4.5,39.0);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('11#雷电分析仪',5.2,'否','正常','打开',147.1,180.8,151.3,45.8,21.2,38.5,220.2,170.0,136.8,5.6,32.6);
